GOBPID,Term
GO:0048017,inositol lipid-mediated signaling
GO:0050803,regulation of synapse structure or activity
GO:1901861,regulation of muscle tissue development
GO:0007517,muscle organ development
GO:0009605,response to external stimulus
GO:0015985,"energy coupled proton transport, down electrochemical gradient"
GO:0015986,ATP synthesis coupled proton transport
GO:0048791,calcium ion-dependent exocytosis of neurotransmitter
GO:0007616,long-term memory
GO:0061436,establishment of skin barrier
GO:0072311,glomerular epithelial cell differentiation
GO:0035561,regulation of chromatin binding
GO:0001941,postsynaptic membrane organization
GO:2000811,negative regulation of anoikis
GO:0021904,dorsal/ventral neural tube patterning
GO:0044409,entry into host
GO:0030260,entry into host cell
GO:0051828,entry into other organism involved in symbiotic interaction
GO:0051806,entry into cell of other organism involved in symbiotic interaction
GO:0052192,movement in environment of other organism involved in symbiotic interaction
GO:0052126,movement in host environment
GO:0007162,negative regulation of cell adhesion
GO:0046849,bone remodeling
GO:1902930,regulation of alcohol biosynthetic process
GO:0051251,positive regulation of lymphocyte activation
GO:0035115,embryonic forelimb morphogenesis
GO:0051123,RNA polymerase II transcriptional preinitiation complex assembly
GO:0016358,dendrite development
GO:0035249,"synaptic transmission, glutamatergic"
GO:1903310,positive regulation of chromatin modification
GO:0097191,extrinsic apoptotic signaling pathway
GO:1903727,positive regulation of phospholipid metabolic process
GO:0035306,positive regulation of dephosphorylation
GO:0035307,positive regulation of protein dephosphorylation
GO:0061647,histone H3-K9 modification
GO:0032732,positive regulation of interleukin-1 production
GO:0006749,glutathione metabolic process
GO:0070509,calcium ion import
GO:0001890,placenta development
GO:0042455,ribonucleoside biosynthetic process
GO:0050890,cognition
GO:0001676,long-chain fatty acid metabolic process
GO:0010648,negative regulation of cell communication
GO:0048070,regulation of developmental pigmentation
GO:0060285,cilium-dependent cell motility
GO:0035025,positive regulation of Rho protein signal transduction
GO:0072529,pyrimidine-containing compound catabolic process
GO:0001539,cilium or flagellum-dependent cell motility
GO:1902931,negative regulation of alcohol biosynthetic process
GO:0043401,steroid hormone mediated signaling pathway
GO:0043648,dicarboxylic acid metabolic process
GO:0046777,protein autophosphorylation
GO:0065002,intracellular protein transmembrane transport
GO:0043408,regulation of MAPK cascade
GO:0006584,catecholamine metabolic process
GO:0090200,positive regulation of release of cytochrome c from mitochondria
GO:0061512,protein localization to cilium
GO:0009712,catechol-containing compound metabolic process
GO:0032459,regulation of protein oligomerization
GO:0002711,positive regulation of T cell mediated immunity
GO:0040023,establishment of nucleus localization
GO:0060999,positive regulation of dendritic spine development
GO:0061001,regulation of dendritic spine morphogenesis
GO:0046427,positive regulation of JAK-STAT cascade
GO:0016266,O-glycan processing
GO:0032760,positive regulation of tumor necrosis factor production
GO:0043616,keratinocyte proliferation
GO:0060606,tube closure
GO:1900407,regulation of cellular response to oxidative stress
GO:1901293,nucleoside phosphate biosynthetic process
GO:0051604,protein maturation
GO:0021782,glial cell development
GO:0010950,positive regulation of endopeptidase activity
GO:0060333,interferon-gamma-mediated signaling pathway
GO:0032411,positive regulation of transporter activity
GO:0022407,regulation of cell-cell adhesion
GO:0010976,positive regulation of neuron projection development
GO:1903532,positive regulation of secretion by cell
GO:0090559,regulation of membrane permeability
GO:0071364,cellular response to epidermal growth factor stimulus
GO:1903039,positive regulation of leukocyte cell-cell adhesion
GO:0034968,histone lysine methylation
GO:0006874,cellular calcium ion homeostasis
GO:0006959,humoral immune response
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:2000379,positive regulation of reactive oxygen species metabolic process
GO:0030100,regulation of endocytosis
GO:0015697,quaternary ammonium group transport
GO:0090083,regulation of inclusion body assembly
GO:0060074,synapse maturation
GO:0048712,negative regulation of astrocyte differentiation
GO:0060977,coronary vasculature morphogenesis
GO:0071402,cellular response to lipoprotein particle stimulus
GO:0071404,cellular response to low-density lipoprotein particle stimulus
GO:0035067,negative regulation of histone acetylation
GO:0045956,positive regulation of calcium ion-dependent exocytosis
GO:0061298,retina vasculature development in camera-type eye
GO:0010107,potassium ion import
GO:0046337,phosphatidylethanolamine metabolic process
GO:0046132,pyrimidine ribonucleoside biosynthetic process
GO:0031987,locomotion involved in locomotory behavior
GO:0009220,pyrimidine ribonucleotide biosynthetic process
GO:0032486,Rap protein signal transduction
GO:0021877,forebrain neuron fate commitment
GO:1903053,regulation of extracellular matrix organization
GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0031057,negative regulation of histone modification
GO:0048640,negative regulation of developmental growth
GO:0090162,establishment of epithelial cell polarity
GO:0045992,negative regulation of embryonic development
GO:0021591,ventricular system development
GO:0097435,fibril organization
GO:0003283,atrial septum development
GO:1904357,negative regulation of telomere maintenance via telomere lengthening
GO:0000303,response to superoxide
GO:0008356,asymmetric cell division
GO:0055094,response to lipoprotein particle
GO:0055078,sodium ion homeostasis
GO:0043406,positive regulation of MAP kinase activity
GO:0030030,cell projection organization
GO:0042886,amide transport
GO:0008637,apoptotic mitochondrial changes
GO:1903649,regulation of cytoplasmic transport
GO:1904356,regulation of telomere maintenance via telomere lengthening
GO:0060998,regulation of dendritic spine development
GO:0035308,negative regulation of protein dephosphorylation
GO:0014020,primary neural tube formation
GO:0001754,eye photoreceptor cell differentiation
GO:0019048,modulation by virus of host morphology or physiology
GO:2001243,negative regulation of intrinsic apoptotic signaling pathway
GO:0046425,regulation of JAK-STAT cascade
GO:0001885,endothelial cell development
GO:0030098,lymphocyte differentiation
GO:0034612,response to tumor necrosis factor
GO:0044246,regulation of multicellular organismal metabolic process
GO:0031341,regulation of cell killing
GO:0009069,serine family amino acid metabolic process
GO:1902882,regulation of response to oxidative stress
GO:0060713,labyrinthine layer morphogenesis
GO:0071470,cellular response to osmotic stress
GO:0045648,positive regulation of erythrocyte differentiation
GO:0031365,N-terminal protein amino acid modification
GO:0031111,negative regulation of microtubule polymerization or depolymerization
GO:0042407,cristae formation
GO:0010842,retina layer formation
GO:0046461,neutral lipid catabolic process
GO:0046464,acylglycerol catabolic process
GO:0016337,single organismal cell-cell adhesion
GO:0048511,rhythmic process
GO:0006516,glycoprotein catabolic process
GO:1903792,negative regulation of anion transport
GO:0033962,cytoplasmic mRNA processing body assembly
GO:0070932,histone H3 deacetylation
GO:0014072,response to isoquinoline alkaloid
GO:1901213,regulation of transcription from RNA polymerase II promoter involved in heart development
GO:0055093,response to hyperoxia
GO:0046827,positive regulation of protein export from nucleus
GO:0021895,cerebral cortex neuron differentiation
GO:2000178,negative regulation of neural precursor cell proliferation
GO:2000757,negative regulation of peptidyl-lysine acetylation
GO:0036296,response to increased oxygen levels
GO:0043278,response to morphine
GO:0006783,heme biosynthetic process
GO:0014902,myotube differentiation
GO:0030521,androgen receptor signaling pathway
GO:0014855,striated muscle cell proliferation
GO:0051289,protein homotetramerization
GO:2000117,negative regulation of cysteine-type endopeptidase activity
GO:0071347,cellular response to interleukin-1
GO:0048584,positive regulation of response to stimulus
GO:0098656,anion transmembrane transport
GO:0006970,response to osmotic stress
GO:0044743,intracellular protein transmembrane import
GO:0032206,positive regulation of telomere maintenance
GO:0009165,nucleotide biosynthetic process
GO:0035637,multicellular organismal signaling
GO:0006939,smooth muscle contraction
GO:0016265,death
GO:0008219,cell death
GO:0015748,organophosphate ester transport
GO:0060487,lung epithelial cell differentiation
GO:0045606,positive regulation of epidermal cell differentiation
GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein
GO:0051154,negative regulation of striated muscle cell differentiation
GO:0032637,interleukin-8 production
GO:0006862,nucleotide transport
GO:0042384,cilium assembly
GO:0046834,lipid phosphorylation
GO:0010952,positive regulation of peptidase activity
GO:0005975,carbohydrate metabolic process
GO:0048199,"vesicle targeting, to, from or within Golgi"
GO:0032268,regulation of cellular protein metabolic process
GO:0070661,leukocyte proliferation
GO:0050433,regulation of catecholamine secretion
GO:0071604,transforming growth factor beta production
GO:0031063,regulation of histone deacetylation
GO:0042311,vasodilation
GO:0042219,cellular modified amino acid catabolic process
GO:0010800,positive regulation of peptidyl-threonine phosphorylation
GO:1903320,regulation of protein modification by small protein conjugation or removal
GO:0019320,hexose catabolic process
GO:0090199,regulation of release of cytochrome c from mitochondria
GO:0090407,organophosphate biosynthetic process
GO:0016125,sterol metabolic process
GO:0010171,body morphogenesis
GO:0015812,gamma-aminobutyric acid transport
GO:0033158,"regulation of protein import into nucleus, translocation"
GO:0003157,endocardium development
GO:0090169,regulation of spindle assembly
GO:0016180,snRNA processing
GO:0071305,cellular response to vitamin D
GO:0000920,cell separation after cytokinesis
GO:0045649,regulation of macrophage differentiation
GO:0042554,superoxide anion generation
GO:0018149,peptide cross-linking
GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:1902001,fatty acid transmembrane transport
GO:0001921,positive regulation of receptor recycling
GO:0032354,response to follicle-stimulating hormone
GO:0032495,response to muramyl dipeptide
GO:0032291,axon ensheathment in central nervous system
GO:0002360,T cell lineage commitment
GO:0022010,central nervous system myelination
GO:0043584,nose development
GO:0006750,glutathione biosynthetic process
GO:0070555,response to interleukin-1
GO:0050886,endocrine process
GO:0042733,embryonic digit morphogenesis
GO:0045580,regulation of T cell differentiation
GO:0072350,tricarboxylic acid metabolic process
GO:0010035,response to inorganic substance
GO:0072503,cellular divalent inorganic cation homeostasis
GO:0045600,positive regulation of fat cell differentiation
GO:0045639,positive regulation of myeloid cell differentiation
GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator
GO:0045777,positive regulation of blood pressure
GO:0042168,heme metabolic process
GO:0001825,blastocyst formation
GO:0009395,phospholipid catabolic process
GO:0014065,phosphatidylinositol 3-kinase signaling
GO:0051188,cofactor biosynthetic process
GO:0008643,carbohydrate transport
GO:0006352,"DNA-templated transcription, initiation"
GO:1903793,positive regulation of anion transport
GO:0050931,pigment cell differentiation
GO:0046579,positive regulation of Ras protein signal transduction
GO:0044089,positive regulation of cellular component biogenesis
GO:0009914,hormone transport
GO:0030217,T cell differentiation
GO:1903051,negative regulation of proteolysis involved in cellular protein catabolic process
GO:0050864,regulation of B cell activation
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0006953,acute-phase response
GO:0007190,activation of adenylate cyclase activity
GO:1901381,positive regulation of potassium ion transmembrane transport
GO:0010226,response to lithium ion
GO:0046457,prostanoid biosynthetic process
GO:1901984,negative regulation of protein acetylation
GO:0001516,prostaglandin biosynthetic process
GO:0032332,positive regulation of chondrocyte differentiation
GO:0032148,activation of protein kinase B activity
GO:1902170,cellular response to reactive nitrogen species
GO:0043277,apoptotic cell clearance
GO:0052472,modulation by host of symbiont transcription
GO:0043921,modulation by host of viral transcription
GO:0051402,neuron apoptotic process
GO:0006979,response to oxidative stress
GO:0048010,vascular endothelial growth factor receptor signaling pathway
GO:0045598,regulation of fat cell differentiation
GO:0043473,pigmentation
GO:0007612,learning
GO:0007007,inner mitochondrial membrane organization
GO:0010677,negative regulation of cellular carbohydrate metabolic process
GO:0002709,regulation of T cell mediated immunity
GO:0051701,interaction with host
GO:0015807,L-amino acid transport
GO:0071320,cellular response to cAMP
GO:0061028,establishment of endothelial barrier
GO:0051058,negative regulation of small GTPase mediated signal transduction
GO:0001895,retina homeostasis
GO:0002456,T cell mediated immunity
GO:0048207,"vesicle targeting, rough ER to cis-Golgi"
GO:0048208,COPII vesicle coating
GO:0009913,epidermal cell differentiation
GO:0009306,protein secretion
GO:0032101,regulation of response to external stimulus
GO:0006641,triglyceride metabolic process
GO:0035305,negative regulation of dephosphorylation
GO:0030104,water homeostasis
GO:0031060,regulation of histone methylation
GO:0016338,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0007602,phototransduction
GO:0045601,regulation of endothelial cell differentiation
GO:0010573,vascular endothelial growth factor production
GO:0046638,positive regulation of alpha-beta T cell differentiation
GO:1902751,positive regulation of cell cycle G2/M phase transition
GO:0031344,regulation of cell projection organization
GO:0050790,regulation of catalytic activity
GO:0071616,acyl-CoA biosynthetic process
GO:0035384,thioester biosynthetic process
GO:0006629,lipid metabolic process
GO:0050806,positive regulation of synaptic transmission
GO:1903530,regulation of secretion by cell
GO:0002521,leukocyte differentiation
GO:1903708,positive regulation of hemopoiesis
GO:0048738,cardiac muscle tissue development
GO:1900006,positive regulation of dendrite development
GO:0071806,protein transmembrane transport
GO:0032649,regulation of interferon-gamma production
GO:0097300,programmed necrotic cell death
GO:0002682,regulation of immune system process
GO:1901655,cellular response to ketone
GO:0034599,cellular response to oxidative stress
GO:0015813,L-glutamate transport
GO:0007339,binding of sperm to zona pellucida
GO:0070920,regulation of production of small RNA involved in gene silencing by RNA
GO:0030220,platelet formation
GO:0030851,granulocyte differentiation
GO:0034616,response to laminar fluid shear stress
GO:0008209,androgen metabolic process
GO:0050820,positive regulation of coagulation
GO:0017144,drug metabolic process
GO:0031000,response to caffeine
GO:1901018,positive regulation of potassium ion transmembrane transporter activity
GO:0051000,positive regulation of nitric-oxide synthase activity
GO:0046885,regulation of hormone biosynthetic process
GO:0009218,pyrimidine ribonucleotide metabolic process
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation"
GO:0043101,purine-containing compound salvage
GO:0006488,dolichol-linked oligosaccharide biosynthetic process
GO:0065005,protein-lipid complex assembly
GO:0042339,keratan sulfate metabolic process
GO:0032677,regulation of interleukin-8 production
GO:0046651,lymphocyte proliferation
GO:0051568,histone H3-K4 methylation
GO:2000756,regulation of peptidyl-lysine acetylation
GO:0046903,secretion
GO:0006753,nucleoside phosphate metabolic process
GO:0072507,divalent inorganic cation homeostasis
GO:0035304,regulation of protein dephosphorylation
GO:1903363,negative regulation of cellular protein catabolic process
GO:0042451,purine nucleoside biosynthetic process
GO:0046129,purine ribonucleoside biosynthetic process
GO:0030518,intracellular steroid hormone receptor signaling pathway
GO:0051057,positive regulation of small GTPase mediated signal transduction
GO:0009156,ribonucleoside monophosphate biosynthetic process
GO:0043523,regulation of neuron apoptotic process
GO:0048596,embryonic camera-type eye morphogenesis
GO:0060479,lung cell differentiation
GO:0018279,protein N-linked glycosylation via asparagine
GO:0001910,regulation of leukocyte mediated cytotoxicity
GO:0043403,skeletal muscle tissue regeneration
GO:1901983,regulation of protein acetylation
GO:2000116,regulation of cysteine-type endopeptidase activity
GO:1903055,positive regulation of extracellular matrix organization
GO:0015721,bile acid and bile salt transport
GO:0003214,cardiac left ventricle morphogenesis
GO:0060444,branching involved in mammary gland duct morphogenesis
GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0031061,negative regulation of histone methylation
GO:1902307,positive regulation of sodium ion transmembrane transport
GO:2000108,positive regulation of leukocyte apoptotic process
GO:0032925,regulation of activin receptor signaling pathway
GO:0052312,modulation of transcription in other organism involved in symbiotic interaction
GO:0016575,histone deacetylation
GO:0015837,amine transport
GO:0051248,negative regulation of protein metabolic process
GO:0046165,alcohol biosynthetic process
GO:0072329,monocarboxylic acid catabolic process
GO:0009142,nucleoside triphosphate biosynthetic process
GO:0018209,peptidyl-serine modification
GO:0007606,sensory perception of chemical stimulus
GO:0046068,cGMP metabolic process
GO:0036465,synaptic vesicle recycling
GO:0006952,defense response
GO:0008033,tRNA processing
GO:0051346,negative regulation of hydrolase activity
GO:0008203,cholesterol metabolic process
GO:0034112,positive regulation of homotypic cell-cell adhesion
GO:0035051,cardiocyte differentiation
GO:1903579,negative regulation of ATP metabolic process
GO:0003148,outflow tract septum morphogenesis
GO:0060045,positive regulation of cardiac muscle cell proliferation
GO:0034377,plasma lipoprotein particle assembly
GO:0050716,positive regulation of interleukin-1 secretion
GO:0050718,positive regulation of interleukin-1 beta secretion
GO:0061014,positive regulation of mRNA catabolic process
GO:0050982,detection of mechanical stimulus
GO:0045978,negative regulation of nucleoside metabolic process
GO:0043268,positive regulation of potassium ion transport
GO:0060341,regulation of cellular localization
GO:1902652,secondary alcohol metabolic process
GO:0031644,regulation of neurological system process
GO:0051493,regulation of cytoskeleton organization
GO:0048661,positive regulation of smooth muscle cell proliferation
GO:0050891,multicellular organismal water homeostasis
GO:0051049,regulation of transport
GO:1901698,response to nitrogen compound
GO:0009582,detection of abiotic stimulus
GO:0048659,smooth muscle cell proliferation
GO:0006811,ion transport
GO:0060669,embryonic placenta morphogenesis
GO:0006468,protein phosphorylation
GO:0009117,nucleotide metabolic process
GO:0070169,positive regulation of biomineral tissue development
GO:0030520,intracellular estrogen receptor signaling pathway
GO:0051952,regulation of amine transport
GO:0033013,tetrapyrrole metabolic process
GO:0055008,cardiac muscle tissue morphogenesis
GO:0003014,renal system process
GO:0001843,neural tube closure
GO:0051817,modification of morphology or physiology of other organism involved in symbiotic interaction
GO:0044782,cilium organization
GO:0046879,hormone secretion
GO:0002697,regulation of immune effector process
GO:0050773,regulation of dendrite development
GO:0033135,regulation of peptidyl-serine phosphorylation
GO:0051897,positive regulation of protein kinase B signaling
GO:0045070,positive regulation of viral genome replication
GO:0071548,response to dexamethasone
GO:0050906,detection of stimulus involved in sensory perception
GO:0031641,regulation of myelination
GO:0046426,negative regulation of JAK-STAT cascade
GO:0042551,neuron maturation
GO:0018196,peptidyl-asparagine modification
GO:0032731,positive regulation of interleukin-1 beta production
GO:0097296,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0002902,regulation of B cell apoptotic process
GO:0019184,nonribosomal peptide biosynthetic process
GO:0015800,acidic amino acid transport
GO:0034105,positive regulation of tissue remodeling
GO:0000469,cleavage involved in rRNA processing
GO:0045879,negative regulation of smoothened signaling pathway
GO:0035036,sperm-egg recognition
GO:0035728,response to hepatocyte growth factor
GO:0046131,pyrimidine ribonucleoside metabolic process
GO:0032211,negative regulation of telomere maintenance via telomerase
GO:0036344,platelet morphogenesis
GO:0043457,regulation of cellular respiration
GO:0006491,N-glycan processing
GO:0009966,regulation of signal transduction
GO:0032844,regulation of homeostatic process
GO:0045921,positive regulation of exocytosis
GO:0002366,leukocyte activation involved in immune response
GO:0071385,cellular response to glucocorticoid stimulus
GO:0031110,regulation of microtubule polymerization or depolymerization
GO:0046365,monosaccharide catabolic process
GO:0001836,release of cytochrome c from mitochondria
GO:0051851,modification by host of symbiont morphology or physiology
GO:0018022,peptidyl-lysine methylation
GO:0032387,negative regulation of intracellular transport
GO:0031638,zymogen activation
GO:1903312,negative regulation of mRNA metabolic process
GO:0034405,response to fluid shear stress
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
GO:0032881,regulation of polysaccharide metabolic process
GO:1903729,regulation of plasma membrane organization
GO:0006631,fatty acid metabolic process
GO:0046486,glycerolipid metabolic process
GO:0006903,vesicle targeting
GO:0043524,negative regulation of neuron apoptotic process
GO:0016042,lipid catabolic process
GO:1904030,negative regulation of cyclin-dependent protein kinase activity
GO:0034505,tooth mineralization
GO:0098909,regulation of cardiac muscle cell action potential involved in regulation of contraction
GO:0086091,regulation of heart rate by cardiac conduction
GO:0061154,endothelial tube morphogenesis
GO:0035313,"wound healing, spreading of epidermal cells"
GO:0010613,positive regulation of cardiac muscle hypertrophy
GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway
GO:0014742,positive regulation of muscle hypertrophy
GO:0010971,positive regulation of G2/M transition of mitotic cell cycle
GO:0055119,relaxation of cardiac muscle
GO:0043114,regulation of vascular permeability
GO:0002686,negative regulation of leukocyte migration
GO:0043405,regulation of MAP kinase activity
GO:0044723,single-organism carbohydrate metabolic process
GO:0046580,negative regulation of Ras protein signal transduction
GO:0006637,acyl-CoA metabolic process
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0035383,thioester metabolic process
GO:0045926,negative regulation of growth
GO:0048488,synaptic vesicle endocytosis
GO:0007184,SMAD protein import into nucleus
GO:0071549,cellular response to dexamethasone stimulus
GO:0045581,negative regulation of T cell differentiation
GO:0046635,positive regulation of alpha-beta T cell activation
GO:1902895,positive regulation of pri-miRNA transcription from RNA polymerase II promoter
GO:0086065,cell communication involved in cardiac conduction
GO:0045428,regulation of nitric oxide biosynthetic process
GO:0032210,regulation of telomere maintenance via telomerase
GO:0051153,regulation of striated muscle cell differentiation
GO:0033865,nucleoside bisphosphate metabolic process
GO:0033875,ribonucleoside bisphosphate metabolic process
GO:0090311,regulation of protein deacetylation
GO:0034032,purine nucleoside bisphosphate metabolic process
GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity
GO:0009581,detection of external stimulus
GO:0009617,response to bacterium
GO:0071356,cellular response to tumor necrosis factor
GO:0006809,nitric oxide biosynthetic process
GO:0046782,regulation of viral transcription
GO:0019725,cellular homeostasis
GO:0071391,cellular response to estrogen stimulus
GO:0045746,negative regulation of Notch signaling pathway
GO:0051592,response to calcium ion
GO:0019318,hexose metabolic process
GO:0002250,adaptive immune response
GO:0019221,cytokine-mediated signaling pathway
GO:0090114,COPII-coated vesicle budding
GO:1904064,positive regulation of cation transmembrane transport
GO:0046632,alpha-beta T cell differentiation
GO:0051246,regulation of protein metabolic process
GO:0060323,head morphogenesis
GO:0060421,positive regulation of heart growth
GO:0035082,axoneme assembly
GO:0014003,oligodendrocyte development
GO:0021799,cerebral cortex radially oriented cell migration
GO:0002673,regulation of acute inflammatory response
GO:0050870,positive regulation of T cell activation
GO:0032386,regulation of intracellular transport
GO:0002263,cell activation involved in immune response
GO:0006109,regulation of carbohydrate metabolic process
GO:0055086,nucleobase-containing small molecule metabolic process
GO:0046634,regulation of alpha-beta T cell activation
GO:0048013,ephrin receptor signaling pathway
GO:0007043,cell-cell junction assembly
GO:1903319,positive regulation of protein maturation
GO:0070286,axonemal dynein complex assembly
GO:0070232,regulation of T cell apoptotic process
GO:0090185,negative regulation of kidney development
GO:0000717,"nucleotide-excision repair, DNA duplex unwinding"
GO:0086019,cell-cell signaling involved in cardiac conduction
GO:0045822,negative regulation of heart contraction
GO:0072160,nephron tubule epithelial cell differentiation
GO:0010954,positive regulation of protein processing
GO:0032757,positive regulation of interleukin-8 production
GO:0036120,cellular response to platelet-derived growth factor stimulus
GO:0050707,regulation of cytokine secretion
GO:1903078,positive regulation of protein localization to plasma membrane
GO:1904377,positive regulation of protein localization to cell periphery
GO:0046622,positive regulation of organ growth
GO:0090317,negative regulation of intracellular protein transport
GO:0043255,regulation of carbohydrate biosynthetic process
GO:0007608,sensory perception of smell
GO:0098801,regulation of renal system process
GO:0071276,cellular response to cadmium ion
GO:0071634,regulation of transforming growth factor beta production
GO:0001919,regulation of receptor recycling
GO:0032402,melanosome transport
GO:2000772,regulation of cellular senescence
GO:0032799,low-density lipoprotein receptor particle metabolic process
GO:0002720,positive regulation of cytokine production involved in immune response
GO:0006471,protein ADP-ribosylation
GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0048701,embryonic cranial skeleton morphogenesis
GO:0006901,vesicle coating
GO:0032259,methylation
GO:0019432,triglyceride biosynthetic process
GO:0007218,neuropeptide signaling pathway
GO:0050873,brown fat cell differentiation
GO:0045823,positive regulation of heart contraction
GO:0031343,positive regulation of cell killing
GO:0010762,regulation of fibroblast migration
GO:2000171,negative regulation of dendrite development
GO:0086001,cardiac muscle cell action potential
GO:1901222,regulation of NIK/NF-kappaB signaling
GO:0002443,leukocyte mediated immunity
GO:0035264,multicellular organism growth
GO:0008654,phospholipid biosynthetic process
GO:0090075,relaxation of muscle
GO:0086009,membrane repolarization
GO:1901224,positive regulation of NIK/NF-kappaB signaling
GO:0042181,ketone biosynthetic process
GO:0010518,positive regulation of phospholipase activity
GO:0001960,negative regulation of cytokine-mediated signaling pathway
GO:0051569,regulation of histone H3-K4 methylation
GO:0051646,mitochondrion localization
GO:0051937,catecholamine transport
GO:0061515,myeloid cell development
GO:1903034,regulation of response to wounding
GO:0050663,cytokine secretion
GO:0061041,regulation of wound healing
GO:0015844,monoamine transport
GO:0070897,DNA-templated transcriptional preinitiation complex assembly
GO:0045806,negative regulation of endocytosis
GO:0032890,regulation of organic acid transport
GO:1902893,regulation of pri-miRNA transcription from RNA polymerase II promoter
GO:0009108,coenzyme biosynthetic process
GO:0030032,lamellipodium assembly
GO:0023051,regulation of signaling
GO:0007215,glutamate receptor signaling pathway
GO:0042509,regulation of tyrosine phosphorylation of STAT protein
GO:0006006,glucose metabolic process
GO:0035303,regulation of dephosphorylation
GO:0043550,regulation of lipid kinase activity
GO:1903409,reactive oxygen species biosynthetic process
GO:0008213,protein alkylation
GO:0051480,cytosolic calcium ion homeostasis
GO:0006479,protein methylation
GO:0032940,secretion by cell
GO:0010827,regulation of glucose transport
GO:0060038,cardiac muscle cell proliferation
GO:0031279,regulation of cyclase activity
GO:0001906,cell killing
GO:0032535,regulation of cellular component size
GO:0010675,regulation of cellular carbohydrate metabolic process
GO:0097202,activation of cysteine-type endopeptidase activity
GO:0097581,lamellipodium organization
GO:0046620,regulation of organ growth
GO:0009755,hormone-mediated signaling pathway
GO:0071384,cellular response to corticosteroid stimulus
GO:0010923,negative regulation of phosphatase activity
GO:0055065,metal ion homeostasis
GO:0043467,regulation of generation of precursor metabolites and energy
GO:2000377,regulation of reactive oxygen species metabolic process
GO:0070841,inclusion body assembly
GO:0090201,negative regulation of release of cytochrome c from mitochondria
GO:0060148,positive regulation of posttranscriptional gene silencing
GO:0060544,regulation of necroptotic process
GO:1900745,positive regulation of p38MAPK cascade
GO:0010039,response to iron ion
GO:0035024,negative regulation of Rho protein signal transduction
GO:0042402,cellular biogenic amine catabolic process
GO:0055098,response to low-density lipoprotein particle
GO:0051571,positive regulation of histone H3-K4 methylation
GO:0032770,positive regulation of monooxygenase activity
GO:0036119,response to platelet-derived growth factor
GO:0052646,alditol phosphate metabolic process
GO:0060914,heart formation
GO:1901661,quinone metabolic process
GO:0010574,regulation of vascular endothelial growth factor production
GO:0018146,keratan sulfate biosynthetic process
GO:0051882,mitochondrial depolarization
GO:1902115,regulation of organelle assembly
GO:0031334,positive regulation of protein complex assembly
GO:1903846,positive regulation of cellular response to transforming growth factor beta stimulus
GO:0048255,mRNA stabilization
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic"
GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway
GO:0050432,catecholamine secretion
GO:0000959,mitochondrial RNA metabolic process
GO:0010458,exit from mitosis
GO:0046460,neutral lipid biosynthetic process
GO:0046463,acylglycerol biosynthetic process
GO:0010662,regulation of striated muscle cell apoptotic process
GO:0002026,regulation of the force of heart contraction
GO:0036258,multivesicular body assembly
GO:1903955,positive regulation of protein targeting to mitochondrion
GO:0043407,negative regulation of MAP kinase activity
GO:0051928,positive regulation of calcium ion transport
GO:0097006,regulation of plasma lipoprotein particle levels
GO:0090342,regulation of cell aging
GO:0060674,placenta blood vessel development
GO:0035094,response to nicotine
GO:0051353,positive regulation of oxidoreductase activity
GO:0010907,positive regulation of glucose metabolic process
GO:0009988,cell-cell recognition
GO:0045834,positive regulation of lipid metabolic process
GO:2001235,positive regulation of apoptotic signaling pathway
GO:0030317,sperm motility
GO:0050709,negative regulation of protein secretion
GO:0035088,establishment or maintenance of apical/basal cell polarity
GO:0061245,establishment or maintenance of bipolar cell polarity
GO:0035329,hippo signaling
GO:0046503,glycerolipid catabolic process
GO:0006754,ATP biosynthetic process
GO:0097193,intrinsic apoptotic signaling pathway
GO:0045017,glycerolipid biosynthetic process
GO:0006793,phosphorus metabolic process
GO:0030501,positive regulation of bone mineralization
GO:0045599,negative regulation of fat cell differentiation
GO:0009247,glycolipid biosynthetic process
GO:0032609,interferon-gamma production
GO:0071248,cellular response to metal ion
GO:0044003,modification by symbiont of host morphology or physiology
GO:0001909,leukocyte mediated cytotoxicity
GO:0032414,positive regulation of ion transmembrane transporter activity
GO:0007270,neuron-neuron synaptic transmission
GO:0015672,monovalent inorganic cation transport
GO:0034220,ion transmembrane transport
GO:0014074,response to purine-containing compound
